,Player,all-nba,Season,Age,G,GS,MP_per_game,FG,FGA,FG_Perc,3P,3PA,3P_Perc,2P,2PA,2P_Perc,eFG_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP
0,Trae Young,1,2019.0,21.0,68.0,68.0,33.3,7.766666666666667,18.0,0.431,2.5,7.266666666666667,0.3426666666666667,5.3,10.766666666666666,0.48966666666666664,0.49933333333333335,6.633333333333333,7.7,0.8583333333333334,0.6333333333333333,3.2999999999999994,3.966666666666667,8.933333333333332,0.9333333333333332,0.16666666666666666,4.233333333333333,1.7333333333333334,24.666666666666668,21.3,0.5743333333333333,0.39866666666666667,0.42300000000000004,2.066666666666667,10.733333333333334,6.366666666666667,43.86666666666667,1.3,0.43333333333333335,16.666666666666668,32.1,4.566666666666666,0.8666666666666666,5.466666666666666,0.11933333333333333,4.6000000000000005,-2.2666666666666666,2.3333333333333335,2.3333333333333335
1,Robert Williams,0,2019.0,22.0,37.666666666666664,5.333333333333333,13.700000000000001,2.3000000000000003,3.1999999999999997,0.718,0.0,0.0,0.0,2.3000000000000003,3.1666666666666665,0.7199999999999999,0.718,0.6666666666666666,1.0333333333333332,0.621,1.6000000000000003,3.0,4.6000000000000005,0.9666666666666668,0.6333333333333334,1.4333333333333333,0.6666666666666666,1.6333333333333335,5.233333333333333,22.533333333333335,0.7166666666666667,0.0026666666666666666,0.32099999999999995,12.1,23.333333333333332,17.733333333333334,9.2,2.1,9.833333333333334,15.633333333333333,12.966666666666667,1.6666666666666667,1.1666666666666667,2.8333333333333335,0.2373333333333333,0.6666666666666666,3.5999999999999996,4.3,1.0
2,Kenrich Williams,0,2019.0,25.0,50.333333333333336,20.0,22.133333333333336,2.3,5.366666666666666,0.42133333333333334,0.8333333333333334,2.566666666666667,0.345,1.4666666666666668,2.8333333333333335,0.5116666666666667,0.5016666666666666,0.3333333333333333,0.7000000000000001,0.5336666666666666,1.2666666666666666,3.3333333333333335,4.566666666666666,1.8666666666666665,0.8333333333333334,0.39999999999999997,0.8666666666666666,2.2,5.866666666666667,10.4,0.5043333333333333,0.5013333333333333,0.13266666666666668,6.0,15.6,10.799999999999999,11.433333333333332,1.7333333333333334,1.5333333333333332,12.699999999999998,12.166666666666666,0.6666666666666666,0.9666666666666668,1.6333333333333335,0.06633333333333334,-2.3,0.6,-1.6666666666666667,0.10000000000000002
3,Yuta Watanabe,0,2019.0,25.0,27.666666666666668,1.3333333333333333,10.633333333333333,1.1333333333333335,2.966666666666667,0.3913333333333333,0.3333333333333333,1.0999999999999999,0.3,0.8333333333333334,1.8333333333333333,0.437,0.446,0.39999999999999997,0.5666666666666668,0.6343333333333333,0.4666666666666666,1.6666666666666667,2.1333333333333333,0.5333333333333333,0.3666666666666667,0.20000000000000004,0.3,0.7666666666666666,3.0,8.9,0.4656666666666666,0.3496666666666666,0.19733333333333333,5.0,16.633333333333333,10.700000000000001,6.8999999999999995,1.6666666666666667,1.3,7.966666666666666,14.733333333333334,0.09999999999999998,0.3666666666666667,0.4666666666666666,0.033999999999999996,-3.5,-0.30000000000000004,-3.8333333333333326,-0.033333333333333326
4,Lonnie Walker IV,0,2019.0,21.0,46.0,16.666666666666668,16.166666666666668,2.5666666666666664,6.266666666666667,0.39799999999999996,0.9,2.4,0.38199999999999995,1.6666666666666667,3.8666666666666667,0.4146666666666667,0.4623333333333333,0.7333333333333334,0.9333333333333332,0.7783333333333333,0.20000000000000004,1.7666666666666666,1.9666666666666668,1.0999999999999999,0.4666666666666666,0.2333333333333333,0.6666666666666666,1.1333333333333335,6.733333333333333,10.366666666666667,0.492,0.34299999999999997,0.16766666666666666,1.1666666666666667,12.799999999999999,6.966666666666666,9.833333333333334,1.7666666666666668,1.4000000000000001,8.966666666666667,19.7,-0.26666666666666666,0.5666666666666668,0.2333333333333333,0.015666666666666666,-2.733333333333333,-0.4666666666666666,-3.2000000000000006,-0.3666666666666667
5,Moritz Wagner,0,2019.0,22.0,44.333333333333336,11.333333333333334,15.0,2.4,5.0,0.4713333333333333,0.6,1.8666666666666665,0.3133333333333333,1.8,3.1333333333333333,0.565,0.5313333333333333,1.4333333333333336,1.7333333333333332,0.816,0.7333333333333334,2.6,3.366666666666667,0.9666666666666667,0.5,0.3666666666666667,1.1333333333333333,2.3666666666666667,6.8,12.566666666666668,0.5836666666666667,0.3826666666666667,0.34900000000000003,4.966666666666667,18.433333333333334,11.6,8.966666666666667,1.4666666666666668,2.2,16.099999999999998,19.466666666666665,0.43333333333333335,0.6333333333333334,1.0333333333333332,0.067,-2.866666666666667,-0.16666666666666666,-3.0666666666666664,-0.16666666666666666
6,Jarred Vanderbilt,0,2019.0,20.0,30.666666666666668,10.0,8.700000000000001,1.0666666666666667,1.8333333333333333,0.5683333333333334,0.0,0.10000000000000002,0.06666666666666667,1.0666666666666667,1.7666666666666668,0.6096666666666667,0.569,0.5,0.8000000000000002,0.7196666666666668,0.8333333333333334,1.7666666666666666,2.6666666666666665,0.5333333333333333,0.5666666666666667,0.3,0.6333333333333334,0.9666666666666667,2.6333333333333333,12.066666666666668,0.6003333333333334,0.06633333333333333,0.4026666666666667,9.666666666666666,21.46666666666667,15.466666666666667,7.033333333333334,3.4,2.2666666666666666,28.5,15.533333333333331,0.46666666666666673,0.5666666666666667,1.0666666666666667,0.04766666666666667,-4.466666666666667,0.9666666666666667,-3.533333333333333,0.13333333333333333
7,Gary Trent Jr.,0,2019.0,21.0,44.666666666666664,15.666666666666666,20.1,3.266666666666667,8.0,0.39066666666666666,1.6333333333333335,4.4,0.347,1.5999999999999999,3.5999999999999996,0.43333333333333335,0.48466666666666663,0.7333333333333334,1.0,0.6779999999999999,0.3333333333333333,1.3666666666666665,1.6333333333333335,0.9,0.6333333333333333,0.20000000000000004,0.4333333333333333,1.1333333333333335,8.966666666666667,9.533333333333333,0.49933333333333335,0.5246666666666667,0.12566666666666668,1.5333333333333332,7.633333333333333,4.6,6.366666666666667,1.2,0.9666666666666667,5.433333333333334,19.3,0.9666666666666668,0.3666666666666667,1.3333333333333333,0.013999999999999999,-2.1999999999999997,-2.2333333333333334,-4.466666666666668,0.09999999999999998
8,Anfernee Simons,0,2019.0,20.0,51.333333333333336,1.6666666666666667,15.033333333333331,2.3666666666666667,5.733333333333333,0.4206666666666667,1.1666666666666667,3.0333333333333337,0.36766666666666664,1.2333333333333334,2.6666666666666665,0.46,0.5206666666666666,0.7666666666666666,1.0,0.7319999999999999,0.26666666666666666,1.4333333333333333,1.7000000000000002,1.1666666666666665,0.26666666666666666,0.06666666666666667,0.7333333333333334,1.3,6.633333333333334,10.800000000000002,0.5419999999999999,0.5283333333333333,0.18933333333333333,1.7999999999999998,9.666666666666666,5.733333333333333,11.433333333333332,0.6666666666666666,0.39999999999999997,10.799999999999999,20.433333333333334,0.5,0.13333333333333333,0.7000000000000001,0.034333333333333334,-1.1666666666666665,-2.4,-3.6,-0.2333333333333333
9,Landry Shamet,0,2019.0,22.0,64.33333333333333,23.0,24.400000000000002,3.0,7.333333333333333,0.4143333333333333,2.1,5.366666666666667,0.39466666666666667,0.9,1.9333333333333333,0.4703333333333333,0.5586666666666668,1.0666666666666667,1.2999999999999998,0.8356666666666667,0.20000000000000004,1.6333333333333335,1.7999999999999998,1.6666666666666667,0.4666666666666666,0.16666666666666666,0.7333333333333334,2.066666666666667,9.233333333333333,9.933333333333334,0.5873333333333334,0.7326666666666667,0.17733333333333334,0.8666666666666667,6.866666666666667,3.966666666666667,9.133333333333335,0.9333333333333332,0.5333333333333333,8.299999999999999,15.033333333333331,1.8,0.8666666666666667,2.6666666666666665,0.08133333333333333,-1.0,-1.0333333333333334,-2.033333333333333,0.0
