,Player,all-nba,Season,Age,G,GS,MP_per_game,FG,FGA,FG_Perc,3P,3PA,3P_Perc,2P,2PA,2P_Perc,eFG_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP
0,Ivica Zubac,0,2017.0,20.0,46.666666666666664,16.0,14.366666666666667,2.766666666666666,5.166666666666667,0.5293333333333333,0.0,0.03333333333333333,0.0,2.766666666666666,5.133333333333334,0.533,0.5293333333333333,1.1333333333333335,1.5333333333333332,0.7400000000000001,1.3333333333333333,3.0333333333333337,4.3999999999999995,0.8333333333333334,0.26666666666666666,0.7000000000000001,0.8666666666666666,1.7,6.7,17.066666666666666,0.5693333333333334,0.006999999999999999,0.31866666666666665,10.266666666666666,22.066666666666666,16.166666666666668,8.666666666666666,0.8666666666666667,3.8000000000000003,13.200000000000001,19.400000000000002,1.0,0.7666666666666666,1.7666666666666668,0.11733333333333333,-1.0666666666666667,-0.36666666666666664,-1.4000000000000001,0.13333333333333333
1,Fred VanVleet,0,2017.0,23.0,59.0,9.333333333333334,18.466666666666665,2.6666666666666665,6.533333333333334,0.3956666666666666,1.1666666666666667,2.9333333333333336,0.39033333333333325,1.5,3.5666666666666664,0.4063333333333334,0.47633333333333333,1.0333333333333334,1.2333333333333334,0.831,0.2333333333333333,1.8,2.033333333333333,2.966666666666667,0.7333333333333334,0.2333333333333333,0.9,1.4666666666666668,7.5,13.366666666666665,0.5126666666666667,0.41100000000000003,0.19166666666666665,1.5666666666666667,11.6,6.666666666666667,21.399999999999995,2.1999999999999997,0.9333333333333332,11.166666666666666,19.2,1.6666666666666667,1.4333333333333333,3.0666666666666664,0.102,-0.6000000000000001,0.9,0.2666666666666666,0.9333333333333332
2,Pascal Siakam,1,2017.0,23.0,72.0,40.666666666666664,22.73333333333333,3.8333333333333335,7.2,0.5196666666666667,0.4666666666666666,1.4666666666666668,0.244,3.4,5.733333333333333,0.5763333333333334,0.5443333333333333,1.3666666666666665,1.8333333333333333,0.698,1.2666666666666668,3.6666666666666665,4.933333333333334,1.8,0.7333333333333334,0.6666666666666666,1.0999999999999999,2.3333333333333335,9.466666666666667,14.9,0.5666666666666668,0.17500000000000002,0.217,6.400000000000001,17.333333333333332,11.966666666666667,10.333333333333334,1.5666666666666664,2.733333333333333,12.233333333333334,16.53333333333333,2.733333333333333,2.4333333333333336,5.2,0.13233333333333333,-0.5666666666666665,1.0333333333333332,0.43333333333333335,1.3666666666666665
3,Dario Saric,0,2017.0,23.0,80.0,50.0,26.96666666666667,4.566666666666666,10.466666666666667,0.43366666666666664,1.5999999999999999,4.433333333333334,0.35633333333333334,2.9666666666666663,6.033333333333334,0.48966666666666664,0.5103333333333334,2.0,2.4333333333333336,0.8406666666666666,1.6666666666666667,4.6,6.2,2.1333333333333333,0.6666666666666666,0.26666666666666666,1.7999999999999998,2.1,12.666666666666666,13.9,0.5509999999999999,0.4266666666666667,0.22866666666666666,6.633333333333333,18.233333333333334,12.5,12.033333333333333,1.1666666666666667,0.7333333333333334,13.199999999999998,21.099999999999998,1.633333333333333,2.066666666666667,3.6999999999999997,0.08133333333333333,0.06666666666666667,-0.9,-0.8666666666666666,0.6333333333333333
4,Domantas Sabonis,1,2017.0,21.0,76.33333333333333,30.0,23.133333333333336,4.2,8.1,0.501,0.3,0.9,0.4003333333333334,3.866666666666667,7.2,0.5179999999999999,0.524,1.8666666666666665,2.5666666666666664,0.7073333333333333,1.7666666666666668,5.1000000000000005,6.866666666666667,1.9666666666666668,0.5333333333333333,0.4000000000000001,1.7,2.9,10.533333333333333,15.433333333333332,0.5553333333333333,0.137,0.298,8.333333333333334,23.799999999999997,16.133333333333336,12.699999999999998,1.2,1.5666666666666667,15.166666666666666,20.333333333333332,1.9333333333333333,2.433333333333333,4.366666666666666,0.11499999999999999,-1.0666666666666667,0.23333333333333336,-0.8333333333333331,0.6
5,Taurean Prince,0,2017.0,23.0,65.33333333333333,46.333333333333336,24.933333333333334,3.9333333333333336,9.166666666666666,0.4223333333333334,1.6333333333333335,4.333333333333333,0.3663333333333334,2.2666666666666666,4.833333333333333,0.4673333333333334,0.5063333333333334,1.6333333333333335,1.9666666666666668,0.8166666666666668,0.4666666666666666,3.1666666666666665,3.6666666666666665,1.8666666666666665,0.9,0.43333333333333335,1.7,2.066666666666667,11.1,11.5,0.5456666666666666,0.4523333333333333,0.23666666666666666,2.1999999999999997,14.066666666666668,8.1,11.133333333333333,1.8333333333333333,1.6666666666666667,14.799999999999999,19.599999999999998,0.13333333333333333,1.4000000000000001,1.5333333333333332,0.04633333333333334,-1.6666666666666667,0.03333333333333336,-1.6333333333333335,0.19999999999999998
6,Jakob Poeltl,0,2017.0,22.0,71.0,9.333333333333334,15.566666666666668,2.233333333333333,3.5333333333333337,0.629,0.0,0.0,0.16666666666666666,2.233333333333333,3.5333333333333337,0.6293333333333333,0.6293333333333333,0.6333333333333333,1.1666666666666667,0.5569999999999999,1.8999999999999997,2.466666666666667,4.3999999999999995,0.6999999999999998,0.4000000000000001,0.8333333333333334,0.7000000000000001,2.1,5.166666666666667,16.366666666666664,0.6303333333333333,0.0016666666666666668,0.3586666666666667,13.966666666666667,17.266666666666666,15.633333333333335,6.033333333333334,1.2666666666666668,4.166666666666667,15.5,13.333333333333334,2.5,1.5666666666666664,4.1,0.16433333333333333,-0.8000000000000002,0.5666666666666667,-0.2333333333333334,0.6666666666666666
7,Gary Payton II,0,2017.0,25.0,10.666666666666666,2.0,10.466666666666667,1.4333333333333333,3.2000000000000006,0.46466666666666673,0.26666666666666666,1.0999999999999999,0.2836666666666667,1.1666666666666667,2.1,0.5650000000000001,0.5066666666666667,0.19999999999999998,0.4000000000000001,0.311,0.3,1.2,1.5333333333333332,1.4666666666666668,0.6,0.36666666666666664,0.7666666666666666,1.1666666666666667,3.3333333333333335,17.066666666666666,0.5146666666666667,0.3323333333333333,0.11633333333333333,4.3999999999999995,12.133333333333333,8.3,25.633333333333336,3.966666666666667,3.3333333333333335,16.166666666666668,18.8,-0.06666666666666667,0.10000000000000002,0.03333333333333333,0.10833333333333334,-0.5,3.3333333333333335,2.8333333333333326,-0.03333333333333333
8,Georges Niang,0,2017.0,24.0,30.333333333333332,0.0,5.433333333333333,0.7666666666666666,1.9666666666666668,0.363,0.2333333333333333,0.9,0.16433333333333333,0.4666666666666666,1.0333333333333334,0.48999999999999994,0.4073333333333333,0.16666666666666666,0.23333333333333336,0.7776666666666667,0.20000000000000004,0.9,1.0666666666666667,0.3666666666666667,0.16666666666666666,0.03333333333333333,0.3,0.4666666666666666,1.9666666666666668,7.433333333333333,0.42566666666666664,0.4256666666666667,0.12366666666666666,5.2,18.233333333333334,11.799999999999999,10.533333333333333,1.866666666666667,0.3,14.266666666666666,19.63333333333333,0.06666666666666665,0.3,0.3333333333333333,-0.02466666666666667,-4.633333333333334,-0.6333333333333334,-5.233333333333333,0.033333333333333326
9,Jamal Murray,0,2017.0,20.0,79.33333333333333,54.666666666666664,28.600000000000005,5.433333333333334,12.533333333333333,0.4306666666666667,1.8,5.033333333333334,0.35966666666666663,3.633333333333333,7.5,0.48133333333333334,0.5046666666666667,2.1999999999999997,2.533333333333333,0.8786666666666667,0.7999999999999999,2.733333333333334,3.5,3.4333333333333336,0.8333333333333334,0.3333333333333333,1.8666666666666665,1.8666666666666665,14.933333333333332,14.666666666666666,0.5439999999999999,0.4116666666666666,0.19733333333333336,3.033333333333333,10.433333333333334,6.733333333333333,17.599999999999998,1.4000000000000001,1.0,12.166666666666666,23.100000000000005,2.5666666666666664,1.3999999999999997,3.9666666666666663,0.08,0.6666666666666666,-1.2333333333333334,-0.5666666666666665,0.9
